,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Amor de Verdade","MC Kekel",29795,https://open.spotify.com/track/76KDy62J99FKu6ZsxMJy3j
2,"Better Now","Post Malone",27242,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
3,"One Kiss (with Dua Lipa)","Calvin Harris",24693,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
4,"Faz Gostoso",Blaya,22604,https://open.spotify.com/track/35pucCKt28NvIK88gpEEjl
5,X,"Nicky Jam",20169,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
6,"God's Plan",Drake,18805,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
7,"Back To You","Selena Gomez",18531,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
8,"I Like It","Cardi B",17844,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
9,"Girls Like You (feat. Cardi B)","Maroon 5",17655,https://open.spotify.com/track/6FRLCMO5TUHTexlWo8ym1W
10,FRIENDS,Marshmello,16716,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
11,"Lucid Dreams","Juice WRLD",16218,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
12,"no tears left to cry","Ariana Grande",16216,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
13,"Nice For What",Drake,15822,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
14,"lovely (with Khalid)","Billie Eilish",15598,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
15,"Psycho (feat. Ty Dolla $ign)","Post Malone",15422,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
16,"Mafiosa (feat. Caroliina)",Lartiste,15199,https://open.spotify.com/track/0WxiQqTcK3ZErx2mMWgtm6
17,"All Mine","Kanye West",14849,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
18,Youngblood,"5 Seconds of Summer",14690,https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw
19,"This Is America","Childish Gambino",13201,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
20,"Youth feat. Khalid","Shawn Mendes",13185,https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z
21,"Call Out My Name","The Weeknd",13045,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
22,"rockstar (feat. 21 Savage)","Post Malone",12898,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
23,"Solo (feat. Demi Lovato)","Clean Bandit",12766,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
24,"Love Lies (with Normani)",Khalid,12180,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
25,"In My Blood","Shawn Mendes",11710,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
26,Flames,"David Guetta",11632,https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV
27,"1100 Cegonhas - Prod. Here's Jhonny",Dillaz,11543,https://open.spotify.com/track/2z8miBNCvH52PnK5vfeXm8
28,"Ta Tum Tum","MC Kevinho",10087,https://open.spotify.com/track/6etab3UBCo5GOTMZqUvRka
29,"Look Alive (feat. Drake)","BlocBoy JB",9942,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
30,Mine,Bazzi,9772,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
31,Nevermind,"Dennis Lloyd",9555,https://open.spotify.com/track/63SevszngYpZOwf63o61K4
32,IDGAF,"Dua Lipa",9409,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
33,"Só Quer Vrau","MC MM",9250,https://open.spotify.com/track/68uKHxQzoY6gd7YSKJf21J
34,"Vai malandra (feat. Tropkillaz & DJ Yuri Martins)",Anitta,9244,https://open.spotify.com/track/6u0EAxf1OJTLS7CvInuNd7
35,SAD!,XXXTENTACION,9227,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
36,"Taste (feat. Offset)",Tyga,9116,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
37,"All Girls Are The Same","Juice WRLD",8827,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
38,"The Middle",Zedd,8650,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
39,Barking,Ramz,8584,https://open.spotify.com/track/7amMgNDcObIDkIXv4xcvc2
40,Downtown,Anitta,8580,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
41,"Ghost Town","Kanye West",8401,https://open.spotify.com/track/6Bg7MznA9X0dIhlAsLyBYj
42,"All The Stars (with SZA)","Kendrick Lamar",8213,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
43,Reborn,"KIDS SEE GHOSTS",8196,https://open.spotify.com/track/4RVbK6cV0VqWdpCDcx3hiT
44,"Chaminé (Zara G)","Wet Bed Gang",8145,https://open.spotify.com/track/53kn2KqWSG9neh5H3YQqxt
45,"Te Boté - Remix","Nio Garcia",8094,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
46,"Water - Single Version","Richie Campbell",7937,https://open.spotify.com/track/58dElABzeDBwfhttWGf6n1
47,"New Rules","Dua Lipa",7753,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
48,OTW,Khalid,7692,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
49,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",7666,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
50,Yikes,"Kanye West",7658,https://open.spotify.com/track/2r4JRwcbIeuAzWjH4YXlLs
51,"Walk It Talk It",Migos,7445,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
52,"I'm Upset",Drake,7378,https://open.spotify.com/track/54oMZ3blwWwuPN4wEoG5mk
53,Clandestino,Shakira,6681,https://open.spotify.com/track/7DrluKkTviBwCc8AV3VGmf
54,"Jackie Chan",Tiësto,6483,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
55,"Échame La Culpa","Luis Fonsi",5945,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
56,"FAKE LOVE",BTS,5883,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
57,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,5851,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
58,2002,Anne-Marie,5547,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB
59,"Feel The Love","KIDS SEE GHOSTS",5521,https://open.spotify.com/track/3aUFrxO1B8EW63QchEl3wX
60,"Yes Indeed","Lil Baby",5406,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
61,"Remind Me to Forget",Kygo,5373,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
62,"Playinwitme (feat. Kehlani)",KYLE,5267,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
63,Nervous,"Shawn Mendes",5259,https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c
64,"A Vida Toda","Carolina Deslandes",5236,https://open.spotify.com/track/6phApqHjoCegpevdCSh331
65,"Welcome to the Party (with French Montana & Lil Pump, feat. Zhavia Ward) - from Deadpool 2",Diplo,5231,https://open.spotify.com/track/5mqzhMuUpvnMfwNz6iepmO
66,GOTTI,6ix9ine,5155,https://open.spotify.com/track/27oFpFktCq9JIXjJQRuv7a
